obs_index,t_plus_1,pop_num,phor_type,R,mu,mu_intercept,mu_adult,mu_flower,frac_intercept,frac_adult,frac_flower
102,4,274,emp,0,0.5483844030637492,0.2327550322753508,0.0816352753629077,0.23399409546880887,0.4244377319540454,0.14886505689589727,0.4266972112290496
103,5,274,emp,0,0.6625275361774992,0.2327550322753508,0.0816352753629077,0.3481372285036042,0.3513137485850745,0.12321793571616413,0.52546831564497265
104,6,274,emp,0,0.5688105688037496,0.2327550322753508,0.0816352753629077,0.25442026119474176,0.40919604001882687,0.1435192660617975,0.4472846939707999
105,7,274,emp,0,0.5017160840049997,0.2327550322753508,0.0816352753629077,0.18732577634260214,0.46391782064740694,0.16271209547687968,0.3733700838276004
106,8,274,emp,0,0.42310081730687515,0.2327550322753508,0.0816352753629077,0.10871050969711633,0.5501171889879227,0.1929452083844537,0.25693760269498267
107,9,274,emp,0,0.4145099549107492,0.2327550322753508,0.07324301849533746,0.10851190410525499,0.5615185582827963,0.176697851589856,0.26178359004337876
108,10,274,emp,0,0.3505184964328743,0.2327550322753508,0.06734928559402846,0.050414178499894796,0.6640306706893693,0.19214188774464894,0.14382744138453565
109,11,274,emp,0,0.3330428452254999,0.2327550322753508,0.06122645650096138,0.03906135645373212,0.6988741407062949,0.18383957913734966,0.11728628017000059
110,12,274,emp,0,0.4129914262637484,0.2327550322753508,0.052834199660181276,0.12740219432088273,0.5635832065111847,0.12793050000616674,0.30848629346489137
111,3,275,occ,0,0.6206170083650017,0.2327550322753508,0.12517869879258633,0.2626832773221691,0.3750381139062519,0.20170039993323122,0.4232614862009679
112,4,275,occ,0,0.6894800572825005,0.2327550322753508,0.19411195788931743,0.262613067024945,0.33758051421055696,0.2815338251470035,0.3808856605077188
113,5,275,occ,0,0.8835924648299992,0.2327550322753508,0.21837417816026652,0.43246325455346857,0.2634189873044382,0.24714354960267926,0.4894374632729279
114,6,275,occ,0,0.8200490157537506,0.2327550322753508,0.2244970071972671,0.36279697617550294,0.2838306342717981,0.2737604739284029,0.4424088916709899
115,7,275,occ,0,0.7142624573974998,0.2327550322753508,0.24128152080607332,0.24022590401950314,0.3258676553201766,0.337805127943041,0.33632721632156726
116,8,275,occ,0,0.7049507701875006,0.2327550322753508,0.2446767297435052,0.22751900814175607,0.33017203770618386,0.34708342779514495,0.32274453446052875
117,9,275,occ,0,0.7087376946649998,0.2327550322753508,0.25102865510473715,0.22495400732475004,0.32840786376596987,0.3541912007705351,0.3174009355197051
118,10,275,occ,0,0.6066824619662521,0.2327550322753508,0.24490582601494298,0.12902160367494087,0.3836521522659382,0.40368041169544533,0.21266743603693944
119,11,275,occ,0,0.5784313063243746,0.2327550322753508,0.2365135692438694,0.10916270478131503,0.4023901018677327,0.4088879122860556,0.18872198580499794
